device,x,y,rssi
9,24.984,24.984,-72.5948
1,24.984,24.984,-72.5958
2,24.984,24.984,-73.3073
3,24.984,24.984,-73.2301
6,24.984,24.984,-73.3082
7,24.984,24.984,-73.231
1,24.984,24.984,-77.1102
4,24.984,24.984,-77.1108
5,24.984,24.984,-77.1108
8,24.984,24.984,-77.1113
9,24.8081,24.8081,-72.5031
1,24.8081,24.8081,-72.6875
2,24.8081,24.8081,-73.1969
3,24.8081,24.8081,-73.1739
6,24.8081,24.8081,-73.3628
7,24.8081,24.8081,-73.3404
1,24.8081,24.8081,-77.0182
4,24.8081,24.8081,-77.1111
5,24.8081,24.8081,-77.1111
8,24.8081,24.8081,-77.2026
9,24.6314,24.6314,-72.411
1,24.6314,24.6314,-72.7796
2,24.6314,24.6314,-73.0851
3,24.6314,24.6314,-73.1181
6,24.6314,24.6314,-73.4184
7,24.6314,24.6314,-73.4497
1,24.6314,24.6314,-76.9251
4,24.6314,24.6314,-77.1121
5,24.6314,24.6314,-77.1121
8,24.6314,24.6314,-77.2938
9,24.4546,24.4546,-72.319
1,24.4546,24.4546,-72.8716
2,24.4546,24.4546,-72.9727
3,24.4546,24.4546,-73.0631
6,24.4546,24.4546,-73.4746
7,24.4546,24.4546,-73.5583
1,24.4546,24.4546,-76.8313
4,24.4546,24.4546,-77.1137
5,24.4546,24.4546,-77.1137
8,24.4546,24.4546,-77.3843
9,24.2778,24.2778,-72.2269
2,24.2778,24.2778,-72.8595
3,24.2778,24.2778,-73.0088
1,24.2778,24.2778,-72.9637
6,24.2778,24.2778,-73.5314
7,24.2778,24.2778,-73.6662
1,24.2778,24.2778,-76.7369
4,24.2778,24.2778,-77.116
5,24.2778,24.2778,-77.116
8,24.2778,24.2778,-77.4742
9,24.101,24.101,-72.135
2,24.101,24.101,-72.7456
3,24.101,24.101,-72.9553
1,24.101,24.101,-73.0556
6,24.101,24.101,-73.5889
7,24.101,24.101,-73.7735
1,24.101,24.101,-76.6417
4,24.101,24.101,-77.1189
5,24.101,24.101,-77.1189
8,24.101,24.101,-77.5635
9,23.9243,23.9243,-72.0432
2,23.9243,23.9243,-72.631
3,23.9243,23.9243,-72.9026
1,23.9243,23.9243,-73.1475
6,23.9243,23.9243,-73.647
7,23.9243,23.9243,-73.8801
1,23.9243,23.9243,-76.5459
4,23.9243,23.9243,-77.1225
5,23.9243,23.9243,-77.1225
8,23.9243,23.9243,-77.6522
9,23.7475,23.7475,-71.9515
2,23.7475,23.7475,-72.5156
3,23.7475,23.7475,-72.8507
1,23.7475,23.7475,-73.2393
6,23.7475,23.7475,-73.7057
7,23.7475,23.7475,-73.986
1,23.7475,23.7475,-76.4493
4,23.7475,23.7475,-77.1267
5,23.7475,23.7475,-77.1267
8,23.7475,23.7475,-77.7402
9,23.5707,23.5707,-71.8599
2,23.5707,23.5707,-72.3995
3,23.5707,23.5707,-72.7996
1,23.5707,23.5707,-73.3309
6,23.5707,23.5707,-73.7649
7,23.5707,23.5707,-74.0913
1,23.5707,23.5707,-76.352
4,23.5707,23.5707,-77.1316
5,23.5707,23.5707,-77.1316
8,23.5707,23.5707,-77.8277
9,23.3939,23.3939,-71.7686
2,23.3939,23.3939,-72.2826
3,23.3939,23.3939,-72.7495
1,23.3939,23.3939,-73.4225
6,23.3939,23.3939,-73.8247
7,23.3939,23.3939,-74.1959
1,23.3939,23.3939,-76.254
4,23.3939,23.3939,-77.1371
5,23.3939,23.3939,-77.1371
8,23.3939,23.3939,-77.9146
9,23.2172,23.2172,-71.6774
2,23.2172,23.2172,-72.165
3,23.2172,23.2172,-72.7002
1,23.2172,23.2172,-73.5139
6,23.2172,23.2172,-73.8851
7,23.2172,23.2172,-74.2999
1,23.2172,23.2172,-76.1552
4,23.2172,23.2172,-77.1432
5,23.2172,23.2172,-77.1432
8,23.2172,23.2172,-78.001
9,23.0404,23.0404,-71.5864
2,23.0404,23.0404,-72.0467
3,23.0404,23.0404,-72.6518
1,23.0404,23.0404,-73.6051
6,23.0404,23.0404,-73.9459
7,23.0404,23.0404,-74.4032
1,23.0404,23.0404,-76.0557
4,23.0404,23.0404,-77.15
5,23.0404,23.0404,-77.15
8,23.0404,23.0404,-78.0867
9,22.8636,22.8636,-71.4957
2,22.8636,22.8636,-71.9276
3,22.8636,22.8636,-72.6044
1,22.8636,22.8636,-73.6962
6,22.8636,22.8636,-74.0072
7,22.8636,22.8636,-74.5059
1,22.8636,22.8636,-75.9554
4,22.8636,22.8636,-77.1575
5,22.8636,22.8636,-77.1575
8,22.8636,22.8636,-78.1719
9,22.6868,22.6868,-71.4053
2,22.6868,22.6868,-71.8078
3,22.6868,22.6868,-72.5579
1,22.6868,22.6868,-73.7871
6,22.6868,22.6868,-74.069
7,22.6868,22.6868,-74.6079
1,22.6868,22.6868,-75.8544
4,22.6868,22.6868,-77.1656
5,22.6868,22.6868,-77.1656
8,22.6868,22.6868,-78.2566
9,22.51,22.51,-71.3152
2,22.51,22.51,-71.6872
3,22.51,22.51,-72.5125
